# This file contains information about the steering angles of a given microphone array.
# Each row corresponds to exactly one steering angle
# Each steering angle is given in spherical coordinates (radius, azimuth and elevation).
& Radius;Azimuth;Elevation
1;0;0
1;0.0174533;0
1;0.0349066;0
1;0.0523599;0
1;0.0698132;0
1;0.0872665;0
1;0.10472;0
1;0.122173;0
1;0.139626;0
1;0.15708;0
1;0.174533;0
1;0.191986;0
1;0.20944;0
1;0.226893;0
1;0.244346;0
1;0.261799;0
1;0.279253;0
1;0.296706;0
1;0.314159;0
1;0.331613;0
1;0.349066;0
1;0.366519;0
1;0.383972;0
1;0.401426;0
1;0.418879;0
1;0.436332;0
1;0.453786;0
1;0.471239;0
1;0.488692;0
1;0.506145;0
1;0.523599;0
1;0.541052;0
1;0.558505;0
1;0.575959;0
1;0.593412;0
1;0.610865;0
1;0.628319;0
1;0.645772;0
1;0.663225;0
1;0.680678;0
1;0.698132;0
1;0.715585;0
1;0.733038;0
1;0.750492;0
1;0.767945;0
1;0.785398;0
1;0.802851;0
1;0.820305;0
1;0.837758;0
1;0.855211;0
1;0.872665;0
1;0.890118;0
1;0.907571;0
1;0.925025;0
1;0.942478;0
1;0.959931;0
1;0.977384;0
1;0.994838;0
1;1.01229;0
1;1.02974;0
1;1.0472;0
1;1.06465;0
1;1.0821;0
1;1.09956;0
1;1.11701;0
1;1.13446;0
1;1.15192;0
1;1.16937;0
1;1.18682;0
1;1.20428;0
1;1.22173;0
1;1.23918;0
1;1.25664;0
1;1.27409;0
1;1.29154;0
1;1.309;0
1;1.32645;0
1;1.3439;0
1;1.36136;0
1;1.37881;0
1;1.39626;0
1;1.41372;0
1;1.43117;0
1;1.44862;0
1;1.46608;0
1;1.48353;0
1;1.50098;0
1;1.51844;0
1;1.53589;0
1;1.55334;0
1;1.5708;0
1;1.58825;0
1;1.6057;0
1;1.62316;0
1;1.64061;0
1;1.65806;0
1;1.67552;0
1;1.69297;0
1;1.71042;0
1;1.72788;0
1;1.74533;0
1;1.76278;0
1;1.78024;0
1;1.79769;0
1;1.81514;0
1;1.8326;0
1;1.85005;0
1;1.8675;0
1;1.88496;0
1;1.90241;0
1;1.91986;0
1;1.93732;0
1;1.95477;0
1;1.97222;0
1;1.98968;0
1;2.00713;0
1;2.02458;0
1;2.04204;0
1;2.05949;0
1;2.07694;0
1;2.0944;0
1;2.11185;0
1;2.1293;0
1;2.14675;0
1;2.16421;0
1;2.18166;0
1;2.19911;0
1;2.21657;0
1;2.23402;0
1;2.25147;0
1;2.26893;0
1;2.28638;0
1;2.30383;0
1;2.32129;0
1;2.33874;0
1;2.35619;0
1;2.37365;0
1;2.3911;0
1;2.40855;0
1;2.42601;0
1;2.44346;0
1;2.46091;0
1;2.47837;0
1;2.49582;0
1;2.51327;0
1;2.53073;0
1;2.54818;0
1;2.56563;0
1;2.58309;0
1;2.60054;0
1;2.61799;0
1;2.63545;0
1;2.6529;0
1;2.67035;0
1;2.68781;0
1;2.70526;0
1;2.72271;0
1;2.74017;0
1;2.75762;0
1;2.77507;0
1;2.79253;0
1;2.80998;0
1;2.82743;0
1;2.84489;0
1;2.86234;0
1;2.87979;0
1;2.89725;0
1;2.9147;0
1;2.93215;0
1;2.94961;0
1;2.96706;0
1;2.98451;0
1;3.00197;0
1;3.01942;0
1;3.03687;0
1;3.05433;0
1;3.07178;0
1;3.08923;0
1;3.10669;0
1;3.12414;0
1;3.14159;0
1;3.15905;0
1;3.1765;0
1;3.19395;0
1;3.21141;0
1;3.22886;0
1;3.24631;0
1;3.26377;0
1;3.28122;0
1;3.29867;0
1;3.31613;0
1;3.33358;0
1;3.35103;0
1;3.36849;0
1;3.38594;0
